id,type,name,wikidata_url,local_qid
,TVSeries,Made in Heaven,https://www.wikidata.org/wiki/Q62059534,Q6895
,Movie,हम तुम,https://www.wikidata.org/wiki/Q1033304,Q6896
,Movie,कल हो ना हो,https://www.wikidata.org/wiki/Q507490,Q6897
,Movie,Avatar,https://www.wikidata.org/wiki/Q24871,Q6898
,Movie,The Day After Tomorrow,https://www.wikidata.org/wiki/Q14320,Q6899
,Movie,Avatar: The Way of Water,https://www.wikidata.org/wiki/Q3604746,Q6900
,Movie,Jumper,https://www.wikidata.org/wiki/Q541079,Q6901
,Movie,Ludwig II,https://www.wikidata.org/wiki/Q3839166,Q6902
,Movie,Luther,https://www.wikidata.org/wiki/Q611404,Q6903
,Movie,Memento,https://www.wikidata.org/wiki/Q190525,Q6904
,Movie,Deep Impact,https://www.wikidata.org/wiki/Q49498,Q6905
,Movie,प्यार तो होना ही था,https://www.wikidata.org/wiki/Q1250759,Q6906
,Movie,कुछ कुछ होता है,https://www.wikidata.org/wiki/Q623336,Q6907
,Movie,मोहब्बतें,https://www.wikidata.org/wiki/Q1135349,Q6908
,Movie,वीर-ज़ारा,https://www.wikidata.org/wiki/Q106819,Q6909
,Movie,दिल से,https://www.wikidata.org/wiki/Q944356,Q6910
,Movie,स्वदेश,https://www.wikidata.org/wiki/Q1759650,Q6911
,Movie,दिल चाहता है,https://www.wikidata.org/wiki/Q370313,Q6912
,Movie,कोई मिल गया,https://www.wikidata.org/wiki/Q1094839,Q6913
,Movie,कभी अलविदा ना कहना,https://www.wikidata.org/wiki/Q865989,Q6914
,Movie,Fire,https://www.wikidata.org/wiki/Q1418833,Q6915
,Movie,Black,https://www.wikidata.org/wiki/Q515416,Q6916
,Movie,정이,https://www.wikidata.org/wiki/Q110629546,Q6917
,TVSeries,Queer as Folk,https://www.wikidata.org/wiki/Q23619,Q8668
,TVSeries,Queer as Folk,https://www.wikidata.org/wiki/Q23623,Q6918
,Movie,The Sea Beast,https://www.wikidata.org/wiki/Q111433290,Q6919
,Movie,The Elephant Whisperers,https://www.wikidata.org/wiki/Q115673833,Q6920
,TVSeries,Cunk on Earth,https://www.wikidata.org/wiki/Q116609814,Q6921
,Movie,Archive,https://www.wikidata.org/wiki/Q97103592,Q6922
,Movie,Transformers,https://www.wikidata.org/wiki/Q171453,Q6923
,Movie,Bumblebee,https://www.wikidata.org/wiki/Q34220038,Q6924
,Movie,Men in Black,https://www.wikidata.org/wiki/Q51416,Q6925
,Movie,La Syndicaliste,https://www.wikidata.org/wiki/Q113360807,Q6926
